datetime,datetime_raw,value,uptimevalue_raw,coverage,coverage_raw,Link Value,Previous Link Value,After Link Value,Status Link,IndexTrue,Selisih,Analisis,Analisis Link Tahap 2,Durasi Hidden Non-Link,Durasi Real Restitusi,Service Level
2017-04-01 03:41:00,42825.86248,2 d 15 h 10 m,227406,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 03:46:00,42825.86596,2 d 15 h 15 m,227706,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 03:51:00,42825.86943,2 d 15 h 20 m,228007,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 03:56:00,42825.8729,2 d 15 h 25 m,228307,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:01:00,42825.87637,2 d 15 h 30 m,228608,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:06:00,42825.87985,2 d 15 h 35 m,228908,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:11:00,42825.88332,2 d 15 h 40 m,229209,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:16:00,42825.88679,2 d 15 h 45 m,229509,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:21:00,42825.89026,2 d 15 h 50 m,229809,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:26:00,42825.89373,2 d 15 h 55 m,230110,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:31:00,42825.89721,2 d 16 h 0 m,230410,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:36:00,42825.90068,2 d 16 h 5 m,230711,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:41:00,42825.90415,2 d 16 h 10 m,231011,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:46:00,42825.90762,2 d 16 h 15 m,231311,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
2017-04-01 04:51:00,42825.9111,2 d 16 h 20 m,231612,1.0,10000,OK,OK,OK,IGNORE,0,0,,,0,0,1.0
